Date,USD (Average),EURO (Average),GBP (Average)
2022-10-18,1652.625,1677.245,1460.095
2022-10-17,1661.375,1700.415,1468.065
2022-10-14,1652.225,1699.145,1474.19
2022-10-13,1662.25,1710.665,1486.825
2022-10-12,1671.475,1722.54,1511.7649999999999
2022-10-11,1664.4250000000002,1715.44,1505.885
2022-10-10,1678.3,1730.33,1517.605
2022-10-07,1703.825,1742.395,1526.6
2022-10-06,1715.1,1739.11,1522.495
2022-10-05,1706.325,1724.645,1505.1999999999998
2022-10-04,1712.0,1728.85,1507.15
2022-10-03,1664.6,1701.725,1483.4850000000001
2022-09-30,1672.25,1707.115,1499.17
2022-09-29,1650.6999999999998,1700.37,1513.335
2022-09-28,1635.1750000000002,1708.225,1532.065
2022-09-27,1633.4499999999998,1698.79,1515.6799999999998
2022-09-26,1645.175,1700.5349999999999,1522.865
2022-09-23,1652.5,1696.4450000000002,1489.08
2022-09-22,1671.85,1695.9250000000002,1481.76
2022-09-21,1673.1,1687.4050000000002,1475.3400000000001
2022-09-20,1666.025,1666.52,1459.52
2022-09-16,1664.475,1667.805,1460.905
2022-09-15,1689.05,1689.5549999999998,1467.275
2022-09-14,1703.85,1704.875,1473.745
2022-09-13,1715.9499999999998,1699.75,1474.365
2022-09-12,1726.45,1701.76,1477.755
2022-09-09,1720.1750000000002,1708.38,1482.695
2022-09-08,1714.8,1718.305,1493.25
2022-09-07,1703.85,1720.7199999999998,1489.585
2022-09-06,1707.55,1722.98,1479.15
2022-09-05,1711.45,1725.23,1487.335
2022-09-02,1709.7,1710.6399999999999,1480.175
2022-09-01,1700.15,1702.0,1470.3600000000001
2022-08-31,1714.15,1714.405,1475.115
2022-08-30,1732.15,1726.8649999999998,1478.56
2022-08-26,1751.675,1746.07,1478.2350000000001
2022-08-25,1757.975,1761.925,1487.245
2022-08-24,1748.825,1760.1,1483.3449999999998
2022-08-23,1743.0,1748.82,1476.045
2022-08-22,1733.025,1734.585,1469.175
2022-08-19,1751.825,1740.2649999999999,1478.54
2022-08-18,1765.5749999999998,1740.945,1468.3400000000001
2022-08-17,1770.4250000000002,1740.065,1464.845
2022-08-16,1775.5,1749.31,1472.69
2022-08-15,1779.025,1745.4,1473.925
2022-08-12,1790.275,1741.315,1476.62
2022-08-11,1793.2,1733.21,1465.845
2022-08-10,1794.275,1746.275,1475.16
2022-08-09,1792.925,1751.24,1479.88
2022-08-08,1779.875,1746.495,1470.7
2022-08-05,1780.0,1745.8049999999998,1472.9299999999998
2022-08-04,1780.5500000000002,1747.165,1467.0900000000001
2022-08-03,1763.925,1734.815,1450.8249999999998
2022-08-02,1776.325,1737.96,1454.81
2022-08-01,1769.575,1725.0700000000002,1444.06
2022-07-29,1756.15,1724.885,1449.52
2022-07-28,1750.05,1720.57,1441.085
2022-07-27,1719.0,1695.02,1425.135
2022-07-26,1719.9499999999998,1692.085,1431.34
2022-07-25,1725.4250000000002,1684.1,1430.9
2022-07-22,1730.975,1697.8049999999998,1442.75
2022-07-21,1695.8249999999998,1663.585,1420.9299999999998
2022-07-20,1710.975,1672.39,1425.1550000000002
2022-07-19,1713.0,1673.8600000000001,1426.07
2022-07-18,1721.35,1695.7,1437.245
2022-07-15,1704.35,1694.975,1439.24
2022-07-14,1708.4250000000002,1708.06,1444.2849999999999
2022-07-13,1726.75,1720.79,1453.665
2022-07-12,1732.525,1727.855,1461.995
2022-07-11,1738.7,1722.795,1457.905
2022-07-08,1737.625,1715.99,1452.8249999999998
2022-07-07,1745.7,1714.02,1456.0
2022-07-06,1760.475,1725.605,1476.94
2022-07-05,1788.2,1739.1599999999999,1490.415
2022-07-04,1807.725,1731.075,1490.47
2022-07-01,1796.5500000000002,1723.9699999999998,1492.935
2022-06-30,1815.3,1742.145,1494.35
2022-06-29,1814.8,1728.42,1493.765
2022-06-28,1823.025,1726.67,1488.855
2022-06-27,1832.175,1731.5900000000001,1491.3
2022-06-24,1825.975,1729.655,1484.24
2022-06-23,1836.65,1744.625,1499.6999999999998
2022-06-22,1834.5749999999998,1741.73,1498.0149999999999
2022-06-21,1838.375,1739.475,1494.9699999999998
2022-06-20,1838.85,1746.08,1502.06
2022-06-17,1845.6999999999998,1757.005,1505.065
2022-06-16,1829.025,1753.2199999999998,1501.275
2022-06-15,1823.45,1744.495,1509.82
2022-06-14,1820.975,1743.495,1505.48
2022-06-13,1843.4,1762.915,1511.3000000000002
2022-06-10,1836.675,1739.395,1479.2350000000001
2022-06-09,1847.05,1726.805,1473.58
2022-06-08,1850.65,1726.4650000000001,1475.4299999999998
2022-06-07,1848.1999999999998,1729.55,1476.99
2022-06-06,1849.35,1723.5,1472.2649999999999
2022-06-01,1837.3000000000002,1716.51,1463.5149999999999
2022-05-31,1846.5500000000002,1723.375,1466.245
2022-05-30,1856.1,1723.575,1468.545
2022-05-27,1855.375,1728.8400000000001,1469.9250000000002
2022-05-26,1846.7,1725.65,1468.865
2022-05-25,1853.125,1737.3049999999998,1480.56
2022-05-24,1862.85,1736.73,1489.63
2022-05-23,1860.25,1743.9850000000001,1478.71
2022-05-20,1840.25,1740.225,1474.315
2022-05-19,1834.775,1742.545,1475.12
2022-05-18,1814.575,1725.295,1464.09
2022-05-17,1826.525,1738.035,1464.2350000000001
2022-05-16,1807.65,1735.975,1477.5700000000002
2022-05-13,1817.875,1750.88,1491.475
2022-05-12,1843.9,1771.425,1513.1100000000001
2022-05-11,1851.85,1753.6100000000001,1495.835
2022-05-10,1859.8,1761.79,1508.855
2022-05-09,1863.15,1771.1100000000001,1515.115
2022-05-06,1883.3249999999998,1781.53,1526.81
2022-05-05,1893.75,1791.105,1518.4
2022-05-04,1866.1750000000002,1771.8400000000001,1492.8449999999998
2022-05-03,1863.8000000000002,1770.13,1486.75
2022-04-29,1913.375,1813.1100000000001,1523.715
2022-04-28,1889.25,1796.58,1514.6999999999998
2022-04-27,1890.975,1787.525,1504.2649999999999
2022-04-26,1904.0,1782.335,1499.495
2022-04-25,1906.85,1777.1750000000002,1497.7350000000001
2022-04-22,1941.775,1797.0149999999999,1508.565
2022-04-21,1944.825,1785.3449999999998,1488.7649999999999
2022-04-20,1948.55,1797.245,1494.05
2022-04-19,1969.975,1824.195,1513.5300000000002
2022-04-14,1966.925,1813.2849999999999,1502.525
2022-04-13,1976.0,1825.8249999999998,1519.74
2022-04-12,1956.125,1799.44,1502.01
2022-04-11,1954.1999999999998,1792.58,1499.455
2022-04-08,1936.3000000000002,1783.24,1487.28
2022-04-07,1929.4,1771.7649999999999,1476.67
2022-04-06,1929.575,1768.645,1474.2
2022-04-05,1936.75,1764.5749999999998,1472.895
2022-04-04,1928.6999999999998,1752.5149999999999,1470.44
2022-04-01,1931.375,1747.605,1472.67
2022-03-31,1933.125,1740.7,1473.23
2022-03-30,1925.8249999999998,1725.925,1463.435
2022-03-29,1910.525,1725.3,1457.06
2022-03-28,1932.025,1760.37,1474.335
2022-03-25,1955.225,1775.7350000000001,1482.255
2022-03-24,1955.5500000000002,1779.55,1482.6
2022-03-23,1931.95,1757.975,1462.3899999999999
2022-03-22,1922.3,1744.975,1453.46
2022-03-21,1930.05,1746.9850000000001,1465.2849999999999
2022-03-18,1934.35,1751.845,1471.17
2022-03-17,1945.525,1759.135,1479.38
2022-03-16,1915.975,1740.475,1464.285
2022-03-15,1921.2,1748.1,1471.645
2022-03-14,1957.8249999999998,1785.335,1499.99
2022-03-11,1985.075,1808.205,1516.995
2022-03-10,1997.125,1811.3899999999999,1519.51
2022-03-09,2003.025,1819.17,1520.895
2022-03-08,2023.025,1857.93,1541.04
2022-03-07,1990.1,1834.1100000000001,1513.075
2022-03-04,1944.55,1774.115,1466.29
2022-03-03,1932.5,1743.5,1445.125
2022-03-02,1927.25,1737.3200000000002,1446.3
2022-03-01,1921.225,1721.9,1434.77
2022-02-28,1906.5749999999998,1700.945,1422.685
2022-02-25,1898.475,1694.615,1419.0149999999999
2022-02-24,1952.3249999999998,1748.87,1459.805
2022-02-23,1900.2,1675.03,1397.98
2022-02-22,1897.55,1672.975,1398.78
2022-02-21,1894.95,1669.9250000000002,1391.46
2022-02-18,1890.275,1664.6750000000002,1389.0700000000002
2022-02-17,1890.0,1662.635,1388.1100000000001
2022-02-16,1858.5,1634.275,1369.8049999999998
2022-02-15,1851.8249999999998,1633.585,1369.605
2022-02-14,1860.975,1645.1,1375.445
2022-02-11,1828.7,1605.6,1348.115
2022-02-10,1833.8249999999998,1603.775,1350.6100000000001
2022-02-09,1827.9499999999998,1598.54,1346.74
2022-02-08,1821.8,1596.625,1345.22
2022-02-07,1812.35,1585.175,1340.685
2022-02-04,1809.625,1581.335,1336.13
2022-02-03,1798.225,1586.0549999999998,1324.85
2022-02-02,1802.825,1595.1399999999999,1330.395
2022-02-01,1803.175,1601.4,1336.06
2022-01-31,1792.925,1603.5,1334.655
2022-01-28,1789.1750000000002,1605.52,1335.44
2022-01-27,1811.125,1620.4099999999999,1350.5549999999998
2022-01-26,1840.575,1631.215,1362.76
2022-01-25,1841.475,1632.84,1367.66
2022-01-24,1834.925,1622.7150000000001,1360.87
2022-01-21,1835.925,1618.915,1353.72
2022-01-20,1841.025,1622.955,1350.48
2022-01-19,1822.225,1606.295,1336.7849999999999
2022-01-18,1814.025,1594.35,1333.585
2022-01-17,1818.9499999999998,1594.125,1331.015
2022-01-14,1822.6,1592.865,1329.8600000000001
2022-01-13,1821.375,1588.33,1325.505
2022-01-12,1818.9,1596.81,1331.885
2022-01-11,1806.0,1594.4250000000002,1328.945
2022-01-10,1797.375,1588.88,1325.02
2022-01-07,1792.4,1583.045,1322.1599999999999
2022-01-06,1797.15,1587.87,1327.915
2022-01-05,1822.375,1609.155,1345.46
2022-01-04,1810.225,1602.685,1339.385
2021-12-30,1802.55,1592.1,1335.775
2021-12-29,1795.3,1586.6,1335.0749999999998
2021-12-23,1805.375,1595.05,1345.9099999999999
2021-12-22,1791.35,1584.81,1345.2150000000001
2021-12-21,1794.8,1590.91,1355.075
2021-12-20,1796.85,1592.995,1360.3049999999998
2021-12-17,1807.6,1597.375,1360.4
2021-12-16,1790.4250000000002,1581.3,1345.675
2021-12-15,1769.025,1570.54,1336.0549999999998
2021-12-14,1779.625,1573.9,1344.06
2021-12-13,1786.125,1583.935,1347.9
2021-12-10,1775.825,1574.175,1344.65
2021-12-09,1779.775,1573.7649999999999,1348.445
2021-12-08,1786.8,1581.675,1352.7849999999999
2021-12-07,1780.5,1581.885,1344.19
2021-12-06,1779.95,1575.435,1343.42
2021-12-03,1770.525,1567.705,1335.325
2021-12-02,1770.35,1562.16,1329.7150000000001
2021-12-01,1788.025,1577.125,1341.29
2021-11-30,1801.0,1584.79,1347.955
2021-11-29,1790.475,1587.875,1344.1
2021-11-26,1805.3,1599.8600000000001,1354.6100000000001
2021-11-25,1789.4,1595.07,1343.66
2021-11-24,1786.425,1593.49,1337.85
2021-11-23,1793.225,1593.01,1340.975
2021-11-22,1828.5749999999998,1622.475,1361.915
2021-11-19,1861.25,1646.74,1385.5149999999999
2021-11-18,1860.4,1641.245,1380.045
2021-11-17,1861.6750000000002,1645.345,1384.335
2021-11-16,1865.725,1643.7,1388.375
2021-11-15,1861.85,1626.605,1386.895
2021-11-12,1855.275,1620.49,1384.5
2021-11-11,1858.575,1620.49,1387.52
2021-11-10,1842.1750000000002,1592.3,1361.835
2021-11-09,1825.85,1574.1550000000002,1344.925
2021-11-08,1820.175,1573.3600000000001,1346.29
2021-11-05,1797.525,1558.81,1336.905
2021-11-04,1787.125,1548.095,1317.675
2021-11-03,1772.65,1530.415,1299.54
2021-11-02,1790.975,1545.075,1313.8600000000001
2021-11-01,1790.175,1546.445,1309.6
2021-10-29,1782.725,1533.12,1295.85
2021-10-28,1800.85,1549.715,1308.405
2021-10-27,1789.55,1542.585,1303.055
2021-10-26,1793.725,1545.205,1300.185
2021-10-25,1802.225,1551.085,1310.49
2021-10-22,1800.275,1546.6100000000001,1304.8400000000001
2021-10-21,1782.3,1530.995,1291.275
2021-10-20,1778.075,1528.255,1290.525
2021-10-19,1779.475,1526.79,1289.055
2021-10-18,1765.15,1522.88,1285.645
2021-10-15,1777.0500000000002,1531.995,1293.25
2021-10-14,1797.9250000000002,1549.005,1311.135
2021-10-13,1776.575,1536.7350000000001,1303.205
2021-10-12,1763.425,1527.13,1297.0900000000001
2021-10-11,1755.1,1517.37,1287.45
2021-10-08,1765.375,1526.87,1295.955
2021-10-07,1760.3249999999998,1522.77,1294.28
2021-10-06,1753.975,1519.555,1293.995
2021-10-05,1755.6,1514.205,1288.96
2021-10-04,1753.1999999999998,1508.63,1289.565
2021-10-01,1756.3249999999998,1515.355,1298.095
2021-09-30,1736.875,1498.665,1290.145
2021-09-29,1739.4,1492.755,1289.765
2021-09-28,1736.7,1487.1399999999999,1276.9
2021-09-27,1752.225,1497.715,1278.6799999999998
2021-09-24,1750.975,1493.49,1278.21
2021-09-23,1760.525,1500.325,1285.0300000000002
2021-09-22,1774.375,1512.655,1301.595
2021-09-21,1770.45,1509.31,1294.9099999999999
2021-09-20,1757.45,1500.8600000000001,1285.225
2021-09-17,1761.025,1496.5149999999999,1277.625
2021-09-16,1764.7,1500.165,1279.3000000000002
2021-09-15,1799.1750000000002,1522.01,1300.1750000000002
2021-09-14,1790.7,1515.115,1290.825
2021-09-13,1790.875,1518.48,1294.98
2021-09-10,1797.25,1517.87,1295.73
2021-09-09,1791.8,1515.59,1295.565
2021-09-08,1791.975,1516.37,1302.05
2021-09-07,1806.45,1522.83,1308.6799999999998
2021-09-06,1822.725,1536.5549999999998,1317.56
2021-09-03,1817.875,1530.2849999999999,1312.96
2021-09-02,1813.85,1530.345,1314.135
2021-09-01,1812.85,1532.855,1316.855
2021-08-31,1814.5749999999998,1534.495,1316.835
2021-08-27,1797.0,1526.6399999999999,1308.935
2021-08-26,1785.1999999999998,1518.135,1300.43
2021-08-25,1791.7,1524.56,1305.6999999999998
2021-08-24,1805.7,1537.46,1316.355
2021-08-23,1794.45,1530.4,1312.005
2021-08-20,1781.0,1525.34,1307.525
2021-08-19,1785.125,1526.73,1304.8400000000001
2021-08-18,1785.775,1523.8049999999998,1297.725
2021-08-17,1791.75,1524.415,1300.09
2021-08-16,1781.05,1512.38,1286.72
2021-08-13,1765.75,1501.495,1277.33
2021-08-12,1751.45,1492.2350000000001,1264.545
2021-08-11,1738.8249999999998,1483.475,1257.165
2021-08-10,1726.4499999999998,1473.0900000000001,1246.4099999999999
2021-08-09,1740.175,1480.28,1253.97
2021-08-06,1781.1750000000002,1510.585,1281.27
2021-08-05,1805.975,1525.685,1298.495
2021-08-04,1820.775,1533.63,1306.585
2021-08-03,1811.1750000000002,1525.1,1302.96
2021-08-02,1809.5,1522.695,1300.485
2021-07-30,1827.0,1536.325,1308.135
2021-07-29,1824.375,1535.85,1306.525
2021-07-28,1797.9499999999998,1523.135,1296.595
2021-07-27,1798.75,1524.53,1302.83
2021-07-26,1804.1750000000002,1528.95,1307.2150000000001
2021-07-23,1801.3249999999998,1531.3049999999998,1311.005
2021-07-22,1798.4250000000002,1523.445,1307.815
2021-07-21,1804.025,1531.525,1321.27
2021-07-20,1819.175,1544.12,1333.7350000000001
2021-07-19,1809.075,1533.1799999999998,1318.455
2021-07-16,1823.15,1543.845,1318.96
2021-07-15,1827.875,1544.825,1320.275
2021-07-14,1818.125,1540.215,1311.4050000000002
2021-07-13,1810.85,1530.445,1307.98
2021-07-12,1797.6750000000002,1514.625,1295.6750000000002
2021-07-09,1804.7,1523.165,1306.15
2021-07-08,1808.975,1527.5900000000001,1312.05
2021-07-07,1804.45,1527.74,1307.3249999999998
2021-07-06,1808.8249999999998,1528.275,1307.055
2021-07-05,1791.15,1508.955,1293.39
2021-07-02,1784.825,1508.18,1296.495
2021-07-01,1777.75,1499.085,1289.135
2021-06-30,1760.475,1481.53,1272.295
2021-06-29,1762.525,1481.665,1273.42
2021-06-28,1777.275,1489.445,1277.595
2021-06-25,1784.95,1493.02,1282.4850000000001
2021-06-24,1782.525,1493.22,1278.6100000000001
2021-06-23,1787.25,1495.3,1278.42
2021-06-22,1777.0749999999998,1493.81,1279.94
2021-06-21,1778.75,1494.51,1281.24
2021-06-18,1782.725,1498.8049999999998,1285.15
2021-06-17,1792.725,1501.13,1284.205
2021-06-16,1859.425,1533.93,1317.5
2021-06-15,1864.475,1537.445,1324.335
2021-06-14,1862.675,1536.895,1320.8200000000002
2021-06-11,1886.5,1553.7150000000001,1333.94
2021-06-10,1885.325,1548.225,1334.995
2021-06-09,1892.525,1550.925,1336.22
2021-06-08,1892.6,1554.1100000000001,1338.8249999999998
2021-06-07,1885.225,1549.37,1332.0
2021-06-04,1880.0749999999998,1548.03,1328.065
2021-06-03,1879.35,1544.995,1328.675
2021-06-02,1899.325,1557.73,1342.1550000000002
2021-06-01,1903.525,1555.37,1341.9850000000001
2021-05-28,1896.2,1557.0700000000002,1337.96
2021-05-27,1893.25,1552.6550000000002,1338.25
2021-05-26,1902.025,1554.62,1344.8249999999998
2021-05-25,1884.9,1538.645,1331.4
2021-05-24,1878.5,1538.115,1327.815
2021-05-21,1876.775,1537.6399999999999,1322.655
2021-05-20,1873.8249999999998,1535.97,1326.285
2021-05-19,1874.225,1533.9499999999998,1322.545
2021-05-18,1867.075,1528.665,1314.6100000000001
2021-05-17,1851.075,1523.99,1312.9650000000001
2021-05-14,1835.8,1513.615,1303.3249999999998
2021-05-13,1818.05,1504.525,1294.27
2021-05-12,1832.15,1512.435,1297.345
2021-05-11,1833.125,1506.645,1296.3899999999999
2021-05-10,1837.3000000000002,1510.9,1303.1
2021-05-07,1828.525,1510.9,1312.6
2021-05-06,1803.15,1495.795,1296.83
2021-05-05,1780.15,1483.755,1281.085
2021-05-04,1791.35,1491.115,1292.285
2021-04-30,1768.225,1463.295,1273.12
2021-04-29,1768.65,1460.2849999999999,1268.12
2021-04-28,1768.1750000000002,1464.755,1273.085
2021-04-27,1782.525,1476.375,1283.865
2021-04-26,1776.5,1469.87,1277.745
2021-04-23,1783.55,1479.01,1286.115
2021-04-22,1786.7,1485.195,1288.21
2021-04-21,1789.625,1489.95,1285.94
2021-04-20,1771.675,1470.23,1268.1750000000002
2021-04-19,1781.45,1481.19,1279.54
2021-04-16,1770.45,1478.145,1284.99
2021-04-15,1752.6,1462.895,1270.9050000000002
2021-04-14,1739.425,1454.505,1262.125
2021-04-13,1738.025,1458.02,1263.285
2021-04-12,1737.1999999999998,1459.16,1263.47
2021-04-09,1744.575,1467.365,1271.275
2021-04-08,1749.6,1472.2800000000002,1272.655
2021-04-07,1737.025,1461.4450000000002,1259.955
2021-04-06,1737.85,1469.52,1255.77
2021-04-01,1720.9499999999998,1464.955,1247.17
2021-03-31,1688.1999999999998,1437.8449999999998,1224.5349999999999
2021-03-30,1690.325,1440.995,1230.125
2021-03-29,1714.95,1456.335,1241.705
2021-03-26,1729.8249999999998,1467.5,1254.21
2021-03-25,1733.25,1468.325,1263.37
2021-03-24,1732.275,1464.4650000000001,1262.7399999999998
2021-03-23,1732.725,1458.255,1257.88
2021-03-22,1734.775,1455.8249999999998,1253.115
2021-03-19,1736.2,1459.9699999999998,1249.63
2021-03-18,1730.0,1450.345,1240.405
2021-03-17,1733.3000000000002,1455.28,1247.455
2021-03-16,1733.65,1453.93,1250.565
2021-03-15,1725.775,1447.2350000000001,1241.005
2021-03-12,1704.3249999999998,1429.415,1225.67
2021-03-11,1730.3,1447.65,1239.675
2021-03-10,1713.85,1439.8899999999999,1232.77
2021-03-09,1709.875,1436.4650000000001,1230.675
2021-03-08,1690.75,1423.6999999999998,1222.3249999999998
2021-03-05,1696.15,1422.475,1228.355
2021-03-04,1711.0749999999998,1421.135,1225.98
2021-03-03,1719.225,1423.6799999999998,1231.13
2021-03-02,1726.175,1434.8000000000002,1241.295
2021-03-01,1740.5500000000002,1445.2649999999999,1248.58
2021-02-26,1753.975,1447.025,1259.3600000000001
2021-02-25,1785.875,1459.685,1261.185
2021-02-24,1797.625,1480.9650000000001,1272.17
2021-02-23,1804.575,1485.525,1281.79
2021-02-22,1803.125,1485.77,1284.54
2021-02-19,1779.975,1467.325,1270.81
2021-02-18,1777.975,1473.23,1275.88
2021-02-17,1784.775,1480.915,1287.8
2021-02-16,1808.85,1490.92,1301.3600000000001
2021-02-15,1817.375,1498.335,1306.87
2021-02-12,1817.175,1501.625,1316.0
2021-02-11,1840.9,1517.365,1331.8000000000002
2021-02-10,1843.0500000000002,1519.87,1331.325
2021-02-09,1843.0749999999998,1523.025,1337.8000000000002
2021-02-08,1823.45,1514.455,1330.01
2021-02-05,1805.75,1505.005,1317.205
2021-02-04,1798.725,1500.31,1319.3049999999998
2021-02-03,1835.075,1526.505,1344.1950000000002
2021-02-02,1840.1,1529.0300000000002,1347.775
2021-02-01,1860.375,1539.37,1359.0100000000002
2021-01-29,1858.25,1531.1,1356.2350000000001
2021-01-28,1846.6750000000002,1524.055,1350.275
2021-01-27,1844.7,1524.55,1345.615
2021-01-26,1854.9,1526.7649999999999,1354.63
2021-01-25,1856.225,1529.25,1357.83
2021-01-22,1853.15,1522.085,1356.6950000000002
2021-01-21,1864.875,1535.355,1358.745
2021-01-20,1855.6,1533.285,1357.4650000000001
2021-01-19,1838.9,1516.355,1350.395
2021-01-18,1833.5,1519.605,1352.755
2021-01-15,1846.425,1523.565,1354.9850000000001
2021-01-14,1841.0,1516.3400000000001,1348.7199999999998
2021-01-13,1855.625,1524.7649999999999,1358.51
2021-01-12,1851.55,1523.6399999999999,1361.725
2021-01-11,1847.525,1520.7,1370.585
2021-01-08,1877.1,1533.125,1381.545
2021-01-07,1915.5749999999998,1562.63,1410.725
2021-01-06,1944.575,1578.105,1428.46
2021-01-05,1943.4499999999998,1583.81,1429.7
2021-01-04,1937.0,1576.2350000000001,1420.415
2020-12-30,1882.5749999999998,1532.04,1384.35
2020-12-29,1874.1,1529.075,1389.1750000000002
2020-12-23,1871.05,1533.6,1386.25
2020-12-22,1875.1999999999998,1535.415,1402.8400000000001
2020-12-21,1874.625,1540.175,1414.67
2020-12-18,1879.35,1534.77,1392.13
2020-12-17,1881.35,1536.865,1384.4850000000001
2020-12-16,1856.65,1522.265,1374.755
2020-12-15,1847.475,1520.105,1384.31
2020-12-14,1825.7,1501.545,1362.3449999999998
2020-12-11,1837.825,1515.29,1390.5900000000001
2020-12-10,1839.275,1516.38,1381.385
2020-12-09,1850.775,1527.435,1377.3400000000001
2020-12-08,1866.325,1539.625,1398.815
2020-12-07,1846.375,1522.225,1388.7350000000001
2020-12-04,1841.15,1514.165,1366.13
2020-12-03,1833.5749999999998,1510.87,1364.0
2020-12-02,1827.775,1514.045,1370.645
2020-12-01,1803.475,1505.2649999999999,1350.175
2020-11-30,1767.25,1474.065,1323.77
2020-11-27,1793.675,1503.2,1344.635
2020-11-26,1811.125,1521.255,1356.98
2020-11-25,1809.375,1520.42,1356.4850000000001
2020-11-24,1808.85,1523.13,1355.905
2020-11-23,1852.0,1560.3899999999999,1386.4
2020-11-20,1871.35,1577.73,1409.125
2020-11-19,1857.375,1570.225,1405.0149999999999
2020-11-18,1876.65,1580.325,1411.895
2020-11-17,1887.225,1590.175,1424.9499999999998
2020-11-16,1889.1,1596.475,1433.825
2020-11-13,1884.5500000000002,1594.145,1431.505
2020-11-12,1871.425,1585.195,1420.135
2020-11-11,1868.575,1587.25,1411.8899999999999
2020-11-10,1876.8000000000002,1589.835,1416.9850000000001
2020-11-09,1912.375,1611.355,1453.35
